,movie_names,ratings,voting_counts,duration_minutes,genre
0,The Wild Robot,8.2,175000,102,animation
1,Mufasa: The Lion King,6.6,69000,118,animation
2,Moana 2,6.6,107000,100,animation
3,Flow,7.9,81000,85,animation
4,Paddington in Peru,6.7,24000,106,animation
5,Inside Out 2,7.5,220000,96,animation
6,Transformers One,7.6,53000,104,animation
7,Despicable Me 4,6.2,67000,94,animation
8,IF,6.4,59000,104,animation
9,The Day the Earth Blew Up: A Looney Tunes Movie,7.0,5100,91,animation
10,The Lord of the Rings: The War of the Rohirrim,6.3,32000,134,animation
11,Kung Fu Panda 4,6.3,70000,94,animation
12,Memoir of a Snail,7.8,19000,95,animation
13,Attack on Titan the Movie: The Last Attack,9.2,17000,145,animation
14,The Garfield Movie,5.7,25000,101,animation
15,Solo Leveling: ReAwakening,8.8,13000,121,animation
16,Harold and the Purple Crayon,5.7,8700,90,animation
17,Look Back,7.8,16000,58,animation
18,Wallace & Gromit: Vengeance Most Fowl,7.5,36000,82,animation
19,Spellbound,5.5,7700,109,animation
20,Orion and the Dark,6.3,17000,93,animation
21,Dan Da Dan: First Encounter,8.2,2800,83,animation
22,Spermageddon,5.6,967,80,animation
23,Watchmen: Chapter I,7.1,6900,83,animation
24,The Remarkable Life of Ibelin,8.2,13000,103,animation
25,Doraemon the Movie: Nobita's Earth Symphony,6.6,1600,115,animation
26,Crayon Shin-chan: Our Dinosaur Diary,6.6,559,106,animation
27,Justice League: Crisis on Infinite Earths - Part One,6.2,8700,93,animation
28,The Most Precious of Cargoes,7.1,1300,81,animation
29,Justice League: Crisis on Infinite Earths - Part Three,6.1,4700,94,animation
30,Night of the Zoopocalypse,6.0,863,91,animation
31,Megamind vs. The Doom Syndicate,2.5,5700,83,animation
32,Piece by Piece,6.9,5800,93,animation
33,That Christmas,6.8,17000,91,animation
34,Haikyu!! The Dumpster Battle,7.7,6400,85,animation
35,Justice League: Crisis on Infinite Earths - Part Two,5.6,5500,94,animation
36,Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.2,8700,104,animation
37,Overlord: The Sacred Kingdom,6.9,1300,135,animation
38,Thelma the Unicorn,5.7,3000,93,animation
39,Watchmen: Chapter II,7.1,3300,90,animation
