,movie_names,ratings,voting_counts,duration_minutes,genre
0,A Complete Unknown,7.4,88000,141,biography
1,I'm Still Here,8.2,111000,137,biography
2,Saturday Night,6.9,32000,109,biography
3,The Apprentice,7.1,59000,122,biography
4,Better Man,7.6,30000,135,biography
5,Queer,6.4,23000,137,biography
6,Queen of the Ring,6.4,1900,129,biography
7,Maria,6.4,20000,124,biography
8,Reagan,6.1,11000,141,biography
9,The Fire Inside,6.7,2900,109,biography
10,Nr. 24,7.5,16000,111,biography
11,William Tell,5.7,2900,133,biography
12,Pavements,7.2,253,128,biography
13,Joy,7.1,9800,115,biography
14,Ordinary Angels,7.4,16000,118,biography
15,Back to Black,6.3,27000,122,biography
16,Bonhoeffer: Pastor. Spy. Assassin.,6.2,3800,133,biography
17,Young Woman and the Sea,7.5,17000,129,biography
18,Scoop,6.5,20000,102,biography
19,Unfrosted,5.5,35000,97,biography
20,Bob Marley: One Love,6.2,35000,107,biography
21,Cabrini,7.3,9000,142,biography
22,Saint-Exupéry,5.4,453,98,biography
23,Monsieur Aznavour,7.3,2700,133,biography
24,Goebbels and the Führer,6.7,2500,135,biography
25,The Great Lillian Hall,7.3,2000,110,biography
26,The Remarkable Life of Ibelin,8.2,13000,103,biography
27,Winner,6.5,2600,103,biography
28,Being Maria,6.1,720,100,biography
29,Super/Man: The Christopher Reeve Story,8.0,9500,104,biography
30,Amaran,8.1,19000,167,biography
31,Audrey's Children,7.1,421,110,biography
32,Harbin,6.2,893,108,biography
33,Midas Man,6.4,1700,112,biography
34,One to One: John & Yoko,7.3,537,101,biography
35,Piece by Piece,6.9,5800,93,biography
36,Liza: A Truly Terrific Absolutely True Story,7.6,402,104,biography
37,Riefenstahl,7.1,772,115,biography
38,Chandu Champion,7.8,34000,142,biography
39,Stelios,7.3,1500,132,biography
40,Rob Peace,6.5,2200,120,biography
41,"From Hilde, with Love",6.9,1100,125,biography
42,Bir Cumhuriyet Sarkisi,7.4,1200,128,biography
43,Faith of Angels,5.9,267,98,biography
44,Maidaan,7.9,23000,181,biography
45,El 47,7.2,3500,110,biography
46,Avicii - I'm Tim,7.7,7300,95,biography
47,Marco,6.8,1300,108,biography
48,Shirley,6.2,3400,117,biography
49,Freedom,5.9,1400,110,biography
50,Unexplainable,7.1,297,116,biography
51,Boléro,6.6,825,120,biography
52,Becoming Madonna,6.9,270,91,biography
53,Race for Glory: Audi vs. Lancia,5.8,4900,109,biography
54,Jim Henson: Idea Man,7.7,3900,111,biography
55,I Am Nevenka,7.1,1100,112,biography
56,The Flood,6.3,335,101,biography
57,Maharaj,6.5,15000,131,biography
58,Don't Ever Stop,9.5,29,85,biography
59,Amar Singh Chamkila,7.8,16000,145,biography
60,Music by John Williams,8.2,5000,105,biography
61,Quisling: The Final Days,7.1,1200,146,biography
62,Gundi: Legend of Love,9.0,5600,166,biography
63,Garbo: Where Did You Go?,6.0,206,90,biography
64,The Divine Sarah Bernhardt,5.9,280,98,biography
65,The Firing Squad,5.1,5100,93,biography
66,Swatantrya Veer Savarkar,7.7,18000,176,biography
67,Sabbath Queen,8.0,68,105,biography
68,Drazen,6.6,1400,100,biography
69,Ernest Cole: Lost and Found,7.3,390,105,biography
70,Road Diary: Bruce Springsteen and the E Street Band,7.7,1000,99,biography
71,Atatürk II: 1881-1919,8.9,2200,141,biography
72,I Am: Celine Dion,7.7,7900,103,biography
73,Blue Road: The Edna O'Brien Story,8.2,74,99,biography
74,Niki,6.0,418,98,biography
75,The Truth vs. Alex Jones,7.5,3000,121,biography
76,La casa,7.0,961,83,biography
77,Srikanth,7.4,14000,134,biography
78,"Disco, Ibiza, Locomia",6.0,1500,104,biography
79,Hayatla Baris,6.3,391,125,biography
80,Now or Never!,2.2,17000,0,biography
81,The Bibi Files,7.5,1200,115,biography
82,Limonov: The Ballad of Eddie,5.9,1000,138,biography
83,Never Look Away,7.2,282,85,biography
84,Marcella,9.0,29,97,biography
85,The Great Ambition,7.2,816,123,biography
86,Nahir,4.7,1100,122,biography
87,Luther: Never Too Much,8.1,891,101,biography
88,Invention,6.6,43,72,biography
89,Tears of Cem Karaca,7.2,2200,123,biography
90,The Ballad of Davy Crockett,4.6,252,96,biography
91,Biggest Heist Ever,6.1,1500,85,biography
92,National Theatre Live: Nye,8.0,276,160,biography
93,Diddy: Summit to Plummet,2.3,219,60,biography
94,The Beach Boys,7.1,2100,113,biography
95,Ravens,8.0,79,117,biography
96,From Roger Moore with Love,7.3,429,79,biography
97,Federer: Twelve Final Days,7.3,4200,88,biography
98,Prodigieuses,6.6,192,101,biography
99,ZEF: The Story of Die Antwoord,7.3,818,90,biography
100,Janis Ian: Breaking Silence,7.9,96,114,biography
101,Elton John: Never Too Late,6.5,2000,102,biography
102,Nedelja,7.2,1900,130,biography
103,A Bronx Tale: The Original One Man Show,7.5,24,0,biography
104,Filmlovers!,6.0,174,88,biography
105,John Cranko,7.0,207,133,biography
106,House of Ga'a,4.0,490,119,biography
107,Oxana,6.5,74,103,biography
108,Beautiful Rebel,6.3,1000,112,biography
109,Samia,6.8,151,102,biography
110,Faye,7.1,3100,91,biography
111,Main Atal Hoon,6.9,6300,139,biography
112,The Shamrock Spitfire,5.2,492,108,biography
113,Fanon,6.6,145,132,biography
114,Havnaa,7.1,277,110,biography
115,Miyazaki: L'Esprit de la Nature,7.1,266,84,biography
116,The World According to Allee Willis,7.9,89,97,biography
117,Dharmaveer 2,5.3,10000,130,biography
