,movie_names,ratings,voting_counts,duration_minutes,genre
0,Small Things Like These,6.7,26000,98,history
1,I'm Still Here,8.2,111000,137,history
2,Saturday Night,6.9,32000,109,history
3,The Apprentice,7.1,59000,122,history
4,September 5,7.1,26000,95,history
5,Queer,6.4,23000,137,history
6,The Return,6.2,9800,116,history
7,The Six Triple Eight,6.7,27000,127,history
8,The Girl with the Needle,7.5,15000,123,history
9,Reagan,6.1,11000,141,history
10,Blitz,6.2,17000,120,history
11,William Tell,5.7,2900,133,history
12,Joy,7.1,9800,115,history
13,Bonhoeffer: Pastor. Spy. Assassin.,6.2,3800,133,history
14,The Children's Train,7.4,7600,106,history
15,Unfrosted,5.5,35000,97,history
16,Vermiglio,6.9,4600,119,history
17,Lilies Not for Me,7.1,566,99,history
18,The Devil's Bath,6.6,6600,121,history
19,Saint-Exupéry,5.4,453,98,history
20,Uprising,6.6,5800,126,history
21,Goebbels and the Führer,6.7,2500,135,history
22,11 Rebels,6.3,582,155,history
23,Grand Tour,6.5,2000,129,history
24,Waves,7.9,1900,131,history
25,Being Maria,6.1,720,100,history
26,The New Year That Never Came,8.1,5300,138,history
27,Harvest,6.1,451,131,history
28,Harbin,6.2,893,108,history
29,In Her Place,6.2,4100,96,history
30,Chandu Champion,7.8,34000,142,history
31,Bibi Rajni,8.5,725,143,history
32,Intoxicated by Love,8.5,13000,118,history
33,Bahodir Yalangto'sh,6.6,144,0,history
34,"From Hilde, with Love",6.9,1100,125,history
35,The Last Front,5.5,628,98,history
36,Bir Cumhuriyet Sarkisi,7.4,1200,128,history
37,Escape from Germany,5.4,1000,97,history
38,Golden Kamuy,6.3,2600,127,history
39,Maidaan,7.9,23000,181,history
40,Before Dawn,5.4,1100,101,history
41,Shirley,6.2,3400,117,history
42,From Darkness to Light,7.4,223,108,history
43,Becoming Madonna,6.9,270,91,history
44,Bushido,6.9,491,129,history
45,The Damned,5.4,901,89,history
46,The Flood,6.3,335,101,history
47,Maharaj,6.5,15000,131,history
48,Seize Them!,5.1,1200,91,history
49,ABBA: Against the Odds,7.3,546,90,history
50,Witches,7.4,1300,90,history
51,Quisling: The Final Days,7.1,1200,146,history
52,John Brown the Advocate,9.6,12,0,history
53,Something to Stand for with Mike Rowe,8.6,298,96,history
54,No Chains No Masters,6.3,637,98,history
55,Sucha Soorma,6.3,948,136,history
56,Battlefield,6.2,694,104,history
57,Ernest Cole: Lost and Found,7.3,390,105,history
58,Thangalaan,6.5,6700,156,history
59,Conquer: Lahad Datu,6.6,539,120,history
60,Atatürk II: 1881-1919,8.9,2200,141,history
61,In Search of Darkness 1990-1994: A Journey Into Iconic '90s Horror,7.9,144,363,history
62,Gloria!,6.6,1000,106,history
63,Gladiators,4.6,106,95,history
64,Now or Never!,2.2,17000,0,history
65,Limonov: The Ballad of Eddie,5.9,1000,138,history
66,Unsinkable,5.7,156,100,history
67,Apocalypse in the Tropics,7.5,108,110,history
68,Kingdom 4: Return of the Great General,7.1,1400,145,history
69,The Great Ambition,7.2,816,123,history
70,The Kingdom,7.0,131,133,history
71,Drop Dead City,7.8,30,108,history
72,Zeitgeist: Requiem,8.4,28,90,history
73,The Ballad of Davy Crockett,4.6,252,96,history
74,Einstein and the Bomb,6.2,4100,76,history
75,The Commandant's Shadow,7.3,1100,103,history
76,Witch,4.9,1400,107,history
77,"Love, Courage and the Battle of Bushy Run",5.0,189,113,history
78,Ka Whawhai Tonu,7.3,191,115,history
79,Razakar: The Silent Genocide of Hyderabad,7.4,5300,166,history
80,Apollo 13: Survival,7.3,2500,98,history
81,This Is the Goat!,5.4,333,100,history
82,Janis Ian: Breaking Silence,7.9,96,114,history
83,Lisabi: The Uprising,5.2,139,107,history
84,House of Ga'a,4.0,490,119,history
85,Six Days in August,6.2,130,120,history
86,Le quatrième mur,6.4,134,116,history
87,Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,8.1,668,174,history
88,Color of Victory,6.1,40000,157,history
89,Operation Undead,4.7,428,110,history
90,Louise Violet,6.5,239,108,history
91,Ei koskaan yksin,7.2,441,85,history
92,Gangs of Godavari,5.0,915,165,history
93,The Volunteers: The Battle of Life and Death,6.1,246,144,history
94,Blur: To the End,7.2,716,104,history
95,Lula,5.5,194,90,history
96,Sinhabahu,6.4,94,112,history
97,Accident or Conspiracy: Godhra,7.4,786,133,history
98,Shivrayancha Chhava,7.0,420,80,history
99,Jorge da Capadócia,6.0,154,119,history
100,Greenwood Rising: The Rise of Black Wall Street,7.1,98,0,history
101,Chhava,8.5,2200,51,history
102,Housewife of the Year,7.5,63,81,history
103,Simona Kossak,6.1,357,100,history
104,Ae Watan Mere Watan,4.7,1400,133,history
105,Kasoombo,8.2,635,156,history
106,Kupu-Kupu Kertas,6.5,214,113,history
107,Vindication Swim,6.0,213,98,history
108,Meeting with Pol Pot,6.4,430,112,history
109,Red Poppies,4.7,329,122,history
110,Hakkenden,6.0,81,149,history
111,America's Burning,6.0,121,83,history
112,Die Ermittlung: Oratorium in 11 Gesängen,7.6,174,241,history
113,Bardejov,4.8,180,85,history
114,Memoir Seorang Guru,7.1,132,120,history
115,Silver Star,7.1,16,102,history
116,The Impact: Groundbreaking Documentary,8.2,62,0,history
117,Ahl Al Kahf,5.3,281,120,history
118,Warrior Awang and Master Tok Gajah,4.6,481,118,history
119,Mysteries of the Terracotta Warriors,6.7,1700,77,history
120,Death Game,6.3,26,88,history
121,The Peanut Man,5.5,74,0,history
122,Yatra 2,6.3,9700,132,history
123,Boat,5.4,1000,126,history
124,Komandir,6.3,532,131,history
125,Atomic People,8.3,110,90,history
126,Landesverräter,5.9,107,112,history
127,The Embers,6.4,107,162,history
128,"True Chronicles of the Blida Joinville Psychiatric Hospital in the Last Century, when Dr Frantz Fanon Was Head of the Fifth Ward between 1953 and 1956",7.1,30,90,history
129,The Shadow,6.4,274,90,history
130,Panjab Files,5.6,32,117,history
131,Dogman Territory: Werewolves in the Land Between the Lakes,5.6,35,0,history
132,Obraz,7.5,21,95,history
133,Sadik Ahmet,7.7,430,125,history
134,A Country Called Ghana,9.2,12,0,history
135,Patrice: The Movie,8.3,231,102,history
136,Taghiev: Oil,9.2,83,120,history
137,Bach - Ein Weihnachtswunder,6.2,169,89,history
138,Aliens Return,4.8,13,0,history
139,Tears of Blood,9.7,8,0,history
140,Hope of Escape,7.7,43,91,history
141,Blood'less' Revolution,6.7,312,103,history
142,The Colonizer,6.771806167400881,0,77,history
143,Quo Vadis,6.4,514,90,history
144,Yakamoz,6.5,16,96,history
145,Mustafa,6.9,76,75,history
146,"Carville: Winning Is Everything, Stupid",7.2,274,98,history
147,Zhi Ci Qing Lv,6.6,51,89,history
148,"À l'école de l'universel: Germaine Le Goff, l'histoire d'une pionnière",6.771806167400881,0,53,history
149,Six Nine Five (695),7.0,706,137,history
150,"Silver, Speik and Sumpters",6.771806167400881,0,91,history
151,The Fall of 2008,7.7,11,61,history
152,Ray of Hope,7.0,11,105,history
153,Cinta Dari Timor,5.3,24,82,history
154,Chernyy zamok,4.9,56,115,history
