,movie_names,ratings,voting_counts,duration_minutes,genre
0,Gladiator II,6.5,246000,148,adventure
1,Dune: Part Two,8.5,637000,166,adventure
2,Twisters,6.5,174000,122,adventure
3,Kraven the Hunter,5.5,61000,127,adventure
4,Deadpool & Wolverine,7.5,503000,128,adventure
5,Venom: The Last Dance,6.0,126000,110,adventure
6,Mufasa: The Lion King,6.6,69000,118,adventure
7,Moana 2,6.6,107000,100,adventure
8,Flow,7.9,81000,85,adventure
9,The Count of Monte-Cristo,7.6,37000,178,adventure
10,Sonic the Hedgehog 3,6.9,63000,110,adventure
11,Furiosa: A Mad Max Saga,7.5,289000,148,adventure
12,Paddington in Peru,6.7,24000,106,adventure
13,Freaky Tales,6.2,6400,107,adventure
14,Inside Out 2,7.5,220000,96,adventure
15,The Unholy Trinity,6.069212962962963,0,93,adventure
16,Borderlands,4.7,50000,101,adventure
17,Transformers One,7.6,53000,104,adventure
18,Bad Boys: Ride or Die,6.5,102000,115,adventure
19,Despicable Me 4,6.2,67000,94,adventure
20,The Return,6.2,9800,116,adventure
21,Godzilla x Kong: The New Empire,6.0,123000,115,adventure
22,Kingdom of the Planet of the Apes,6.8,154000,145,adventure
23,The Day the Earth Blew Up: A Looney Tunes Movie,7.0,5100,91,adventure
24,The Lord of the Rings: The War of the Rohirrim,6.3,32000,134,adventure
25,Damsel,6.1,111000,110,adventure
26,Ghostbusters: Frozen Empire,6.1,95000,115,adventure
27,Red One,6.3,142000,123,adventure
28,Kung Fu Panda 4,6.3,70000,94,adventure
29,Spaceman,5.7,44000,107,adventure
30,Attack on Titan the Movie: The Last Attack,9.2,17000,145,adventure
31,Uglies,4.7,33000,100,adventure
32,The Garfield Movie,5.7,25000,101,adventure
33,Solo Leveling: ReAwakening,8.8,13000,121,adventure
34,Harold and the Purple Crayon,5.7,8700,90,adventure
35,Sketch,8.3,63,92,adventure
36,Arthur the King,7.0,35000,107,adventure
37,Atlas,5.6,57000,118,adventure
38,Wallace & Gromit: Vengeance Most Fowl,7.5,36000,82,adventure
39,Kalki 2898 AD,7.0,67000,180,adventure
40,Survive,4.6,2900,90,adventure
41,Monster Summer,5.7,4000,97,adventure
42,My Penguin Friend,6.8,5600,97,adventure
43,Rebel Moon - Part Two: The Scargiver,5.3,60000,122,adventure
44,Descendants: The Rise of Red,4.7,7200,91,adventure
45,Spellbound,5.5,7700,109,adventure
46,Sasquatch Sunset,5.4,5500,88,adventure
47,Manjummel Boys,8.2,28000,135,adventure
48,Lost on a Mountain in Maine,6.1,1400,98,adventure
49,Orion and the Dark,6.3,17000,93,adventure
50,Saint-Exupéry,5.4,453,98,adventure
51,No Way Up,4.6,11000,90,adventure
52,River of Blood,5.1,1900,86,adventure
53,Family Pack,5.5,9400,94,adventure
54,The Goat Life,7.1,48000,173,adventure
55,Doraemon the Movie: Nobita's Earth Symphony,6.6,1600,115,adventure
56,Crayon Shin-chan: Our Dinosaur Diary,6.6,559,106,adventure
57,Justice League: Crisis on Infinite Earths - Part One,6.2,8700,93,adventure
58,Winner,6.5,2600,103,adventure
59,Badland Hunters,5.9,13000,107,adventure
60,The Best Christmas Pageant Ever,6.8,6200,99,adventure
61,Justice League: Crisis on Infinite Earths - Part Three,6.1,4700,94,adventure
62,Escape from the 21st Century,6.4,971,98,adventure
63,Sunlight,7.8,24,96,adventure
64,Night of the Zoopocalypse,6.0,863,91,adventure
65,Megamind vs. The Doom Syndicate,2.5,5700,83,adventure
66,The Wages of Fear,4.6,4200,104,adventure
67,Kaizen,7.1,717,160,adventure
68,Son's Will,7.4,1000,148,adventure
69,That Christmas,6.8,17000,91,adventure
70,Bookworm,6.0,2000,103,adventure
71,Escape,6.4,2200,94,adventure
72,Justice League: Crisis on Infinite Earths - Part Two,5.6,5500,94,adventure
73,Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.2,8700,104,adventure
74,Overlord: The Sacred Kingdom,6.9,1300,135,adventure
75,Cult Killer,4.8,2800,105,adventure
76,The Empire,5.2,1300,110,adventure
77,Thelma the Unicorn,5.7,3000,93,adventure
78,"I, the Executioner",6.3,1900,118,adventure
79,Golden Kamuy,6.3,2600,127,adventure
80,Ultraman: Rising,6.9,6500,117,adventure
81,Something in the Water,4.1,4900,86,adventure
82,Unspeakable: Beyond the Wall of Sleep,5.9,63,90,adventure
83,At Her Feet,7.2,50,100,adventure
84,My Hero Academia: You're Next,7.0,2500,110,adventure
85,Hanu Man,7.7,29000,158,adventure
86,A.R.M,7.1,8900,150,adventure
87,The Price of Money: A Largo Winch Adventure,5.1,1200,100,adventure
88,Devil's Knight,5.3,955,90,adventure
89,Lumina,2.2,692,113,adventure
90,Bureau 749,4.0,568,123,adventure
91,Seeds,4.9,209,82,adventure
92,Panda Bear in Africa,5.5,364,84,adventure
93,Bambi: A Tale of Life in the Woods,5.6,231,78,adventure
94,Hitpig,5.1,1000,86,adventure
95,No Chains No Masters,6.3,637,98,adventure
96,The Courier,6.0,4500,101,adventure
97,Sixty Minutes,5.7,5200,88,adventure
98,A Legend,4.7,980,129,adventure
99,Operation Blood Hunt,3.5,505,93,adventure
100,Dongeng Sang Kancil,6.7,207,99,adventure
101,Anaconda,4.9,657,84,adventure
102,Formed Police Unit,4.7,1300,120,adventure
103,The Firing Squad,5.1,5100,93,adventure
104,Rebellious,6.1,226,94,adventure
105,The Twisters,2.5,370,86,adventure
106,Operation: Raqqa,5.6,283,107,adventure
107,Dragonkeeper,5.7,1800,98,adventure
108,Diplodocus,6.3,193,90,adventure
109,Kanguva,4.5,15000,152,adventure
110,Gracie and Pedro: Pets to the Rescue,5.1,283,87,adventure
111,The Mountain,6.6,163,89,adventure
112,Diving Into the Darkness,9.1,84,96,adventure
113,Thangalaan,6.5,6700,156,adventure
114,The Last Redemption,6.8,5200,122,adventure
115,Buffalo Kids,6.6,755,93,adventure
116,Dalia and the Red Book,5.9,140,107,adventure
117,Saving Bikini Bottom: The Sandy Cheeks Movie,3.7,4000,82,adventure
118,Robin and the Hoods,4.3,537,100,adventure
119,Gladiators,4.6,106,95,adventure
120,Empire Queen: The Golden Age of Magic,3.2,214,148,adventure
121,The Tiger's Apprentice,5.7,2200,84,adventure
122,Now or Never!,2.2,17000,0,adventure
123,A Sloth Story,5.6,227,90,adventure
124,Woody Woodpecker Goes to Camp,4.5,2600,100,adventure
125,Autumn and the Black Jaguar,5.6,1000,100,adventure
126,Angels Fallen: Warriors of Peace,4.8,5800,103,adventure
127,Five Friends,6.7,944,112,adventure
128,Cells at Work!,6.7,336,109,adventure
129,Treasure Trackers,5.8,169,92,adventure
130,200% Wolf,5.9,1300,98,adventure
131,Never Look Away,7.2,282,85,adventure
132,WWII: Operation Phoenix,5.8,98,106,adventure
133,Naa Saami Ranga,4.5,1200,150,adventure
134,Roadkill,3.7,690,90,adventure
135,Kalvan,5.6,989,142,adventure
136,Bade Miyan Chote Miyan,3.7,39000,163,adventure
137,Man and Witch: The Dance of a Thousand Steps,5.5,343,94,adventure
138,Big City Greens the Movie: Spacecation,6.2,562,83,adventure
139,The Kingdom,7.0,131,133,adventure
140,Return to Wickensburg,5.2,39,88,adventure
141,Bionic,4.3,1700,110,adventure
142,The Last Ronin,4.9,591,115,adventure
143,The Last of Us: Immunity,4.2,29,64,adventure
144,Noah's Ark,4.3,687,96,adventure
145,War of the Worlds: Extinction,3.0,211,84,adventure
146,Seven Seas Seven Hills,8.5,94,90,adventure
147,Eat the Night,6.0,544,106,adventure
148,Guest from the Future,6.0,1200,141,adventure
149,No Time to Spy: A Loud House Movie,6.3,485,81,adventure
150,Un lío de millones,5.3,248,91,adventure
151,Dragon Ball Z Kai,8.6,79,82,adventure
152,Mong Vuot,5.0,166,96,adventure
153,My Oni Girl,6.0,1800,112,adventure
154,School of Magical Animals 3,5.8,338,105,adventure
155,This Too Shall Pass,9.1,17,105,adventure
156,Marianengraben,7.3,92,87,adventure
157,The Magician's Raincoat,5.6,125,0,adventure
158,Chuck Billy and the Marvelous Guava Tree,7.4,1200,90,adventure
159,The Keepers of the 5 Kingdoms,4.0,225,109,adventure
160,Going Viral,8.3,300,90,adventure
161,Pimpinero: Blood and Oil,5.6,568,121,adventure
162,Era Oculta,6.069212962962963,0,80,adventure
163,My Freaky Family,6.3,419,86,adventure
164,Mobile Suit Gundam SEED Freedom,6.6,975,124,adventure
165,Niko: Beyond the Northern Lights,6.2,351,86,adventure
166,Road Wars: Max Fury,2.0,365,83,adventure
167,Barroz: Guardian of Treasures,3.4,1000,155,adventure
168,The Casagrandes Movie,5.6,687,89,adventure
169,The Waves of Madness,5.9,94,68,adventure
170,Witch Hunter,5.0,25,80,adventure
171,Ayalaan,5.9,4000,155,adventure
172,Rally Caps,5.5,142,100,adventure
173,Meanwhile on Earth,6.0,944,89,adventure
174,One Million Babes BC,2.1,87,75,adventure
175,Gaami,6.3,2000,147,adventure
176,The Backrooms,8.2,15,63,adventure
177,Ice Maiden,8.6,79,90,adventure
178,Little Emma,5.4,129,106,adventure
179,Sam and Colby: The Legends of the Paranormal,4.8,314,98,adventure
180,Alpha.,6.9,256,100,adventure
181,Buddy,3.8,355,137,adventure
182,The Goat,5.9,386,91,adventure
183,The Lost Tiger,7.9,50,90,adventure
184,Storm Crashers,6.2,571,88,adventure
185,The Adventures of Jurassic Pet: Return to the Wild,5.5,73,90,adventure
186,Spiders on a Plane,4.9,379,78,adventure
187,All for One,1.4,675,97,adventure
188,Captain Miller,6.9,11000,157,adventure
189,The Blinkless,7.3,14,59,adventure
190,Z-Mom,5.0,46,90,adventure
191,The Big Trip 3: Race Around the World,5.7,66,85,adventure
192,My Fathers' Daughter,6.5,82,78,adventure
193,Teenz,4.4,866,122,adventure
194,Chhota Bheem and the Curse of Damyaan,4.8,2300,145,adventure
195,Ghost Island,7.4,50,95,adventure
196,Planetquake,3.0,319,85,adventure
197,Major Grom: The Game,6.1,1900,168,adventure
198,The Phantom Warrior,2.4,556,119,adventure
199,Fox & Hare Save the Forest,5.9,213,71,adventure
200,Space Ranger,3.4,81,0,adventure
201,Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,7.2,32,90,adventure
202,Elli and the Ghostly Ghost Train,5.0,108,86,adventure
203,Stinky Summer,5.6,55,90,adventure
204,Next to Us,4.8,228,125,adventure
205,Earthquake Underground,3.3,201,83,adventure
206,Oculus,6.0,15,113,adventure
207,Shrek 5: The Contract - A Fan Made Film,7.2,21,84,adventure
208,Appu,8.5,186,92,adventure
209,Mr Zoo Keeper,8.3,17,0,adventure
210,Jurassic Triangle,2.4,287,84,adventure
211,The Epidemic,5.9,71,95,adventure
212,The Secret of Pin-Up Island,7.4,97,107,adventure
213,Its Name Was Mormo,3.6,123,93,adventure
214,I Heart Robots,4.6,2400,76,adventure
215,Tanning Zone,6.069212962962963,0,90,adventure
216,Taklee Genesis x Worlds Collide,5.4,426,146,adventure
217,Trifole,7.5,59,100,adventure
218,Dünya Varmis,6.6,65,100,adventure
219,Molar,6.069212962962963,0,117,adventure
220,Game On,2.6,357,85,adventure
221,The Traveller,5.2,212,134,adventure
222,Luigi's Mansion,6.2,19,60,adventure
223,Bull Shark 3,3.5,91,76,adventure
224,Dead Dead Demon's Dededede Destruction,7.1,148,120,adventure
225,Odio el verano,5.1,605,103,adventure
226,Memes & Nightmares,5.7,90,81,adventure
227,Ahl Al Kahf,5.3,281,120,adventure
228,The Epic of Gilgamesh,6.069212962962963,0,79,adventure
229,Warrior Awang and Master Tok Gajah,4.6,481,118,adventure
230,A Trip Elsewhere,5.5,109,93,adventure
231,My Redneck Neighbor: Chapter 2 - Let the Games Begin,6.6,9,55,adventure
232,Kodaikanal,9.2,70,173,adventure
233,Vertical,5.2,146,111,adventure
234,Transformers Prime: Galavatron's Revenge,4.3,14,104,adventure
235,Death Game,6.3,26,88,adventure
