,movie_names,ratings,voting_counts,duration_minutes,genre
0,Challengers,7.0,158000,131,sport
1,Queen of the Ring,6.4,2000,129,sport
2,The Fire Inside,6.7,2900,109,sport
3,Under Paris,5.2,37000,104,sport
4,Young Woman and the Sea,7.5,18000,129,sport
5,Unstoppable,6.8,4400,116,sport
6,Arthur the King,7.0,35000,107,sport
7,Lal Salaam,4.4,1400,150,sport
8,Kill the Jockey,6.4,1800,96,sport
9,Chandu Champion,7.8,34000,142,sport
10,You Gotta Believe,5.8,1400,104,sport
11,Haikyu!! The Dumpster Battle,7.7,6500,85,sport
12,Rez Ball,6.3,2600,111,sport
13,Diving Into the Darkness,8.9,88,96,sport
14,Sweet Dreams,5.4,1500,95,sport
15,Race for Glory: Audi vs. Lancia,5.8,5000,109,sport
16,Maidaan,7.9,23000,181,sport
17,Fight Like a Girl,8.3,20,118,sport
18,Uranus 2324,6.4,4900,130,sport
19,Blue Lock: Episode Nagi,6.6,2600,91,sport
20,Yolo,6.9,3800,129,sport
21,Lubber Pandhu,8.1,6200,146,sport
22,Federer: Twelve Final Days,7.3,4200,88,sport
23,Giannis: The Marvelous Journey,8.3,1800,109,sport
24,Sixty Minutes,5.7,5200,88,sport
25,The Beautiful Game,6.3,8200,125,sport
26,Ski,7.6,78,95,sport
27,Hayatla Baris,6.3,398,125,sport
28,Mr. & Mrs. Mahi,5.9,16000,139,sport
29,Gundi: Legend of Love,8.9,5600,166,sport
30,The Underdoggs,5.6,4600,96,sport
31,The Final: Attack on Wembley,6.3,2500,82,sport
32,El Hareefa,6.8,1100,117,sport
33,Boxer,6.4,1400,150,sport
34,Wingless,7.3,186,110,sport
35,Cup,8.6,82,146,sport
36,The Swedish Torpedo,6.2,200,120,sport
37,Bionic,4.3,1800,110,sport
38,Baki Hanma VS Kengan Ashura,5.7,2000,62,sport
39,Little Wing,6.1,947,100,sport
40,Mond,7.0,299,92,sport
41,Balestra,5.1,538,145,sport
42,Crakk: Jeetega... Toh Jiyegaa,4.7,6500,154,sport
43,Vijay 69,6.1,1200,112,sport
44,My Sunshine,7.0,1400,100,sport
45,El Harifa 2: El Remontada,6.3,486,130,sport
46,Blue Star,6.9,1600,166,sport
47,Return to the Ring,5.4,746,106,sport
48,Nasty,7.7,1100,103,sport
49,My Annoying Brother,7.4,278,114,sport
50,The Champion,5.5,908,106,sport
51,Untold: The Murder of Air McNair,5.6,2100,57,sport
52,Samia,6.8,154,102,sport
53,Numéro 10,5.3,51,91,sport
54,Havnaa,7.1,280,110,sport
55,Free Falling,5.2,300,89,sport
56,Color of Victory,6.1,40000,157,sport
57,Alpha.,6.9,258,100,sport
58,Sunshine,7.3,65,91,sport
59,Uma Musume: Pretty Derby - Beginning of a New Era,7.4,147,108,sport
60,Pegasus 2,6.9,1300,121,sport
61,Concussed: The American Dream,7.7,44,0,sport
62,First Class: Full Speed!,7.0,334,0,sport
63,Las super estrellas de la lucha libre,8.8,56,98,sport
64,Undisputed,6.8,106,64,sport
65,It's All Over: The Kiss That Changed Spanish Football,7.0,642,95,sport
66,EFC,7.7,1200,87,sport
67,Nayab,7.4,270,153,sport
68,Memes & Nightmares,5.7,92,81,sport
69,Topuria Matador,7.2,168,95,sport
70,Kulej. Dwie strony medalu,6.4,343,148,sport
71,Pierce,6.4,147,109,sport
72,Friendly Fire,6.1,68,105,sport
73,The Netflix Slam,7.2,147,150,sport
74,The Miranda Brothers,4.4,191,99,sport
75,I am Al Ittihad,4.9,232,90,sport
76,Off the Line,8.6,17,0,sport
77,Fuchsia Libre,4.9,60,112,sport
78,GG (Good Game),5.9,80,100,sport
79,Grace by Night,7.1,25,0,sport
80,See Her Be Her,7.1,27,110,sport
81,Bartali's Bicycle,7.6,9,80,sport
